animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_Variety,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_file,album_update,cDate,shelter_address,shelter_tel
404255,FAABG11405036004,10,68,臺中市動物之家后里園區,貓,混種貓                 ,M,SMALL,黃色,ADULT,T,F,中興路三段環山三巷35號,,OPEN,,,2025-05-15,2999-12-31,2025/05/14,2025/05/03,臺中市動物之家后里園區,https://www.pet.gov.tw/upload/pic/1747185656552.png,,2025/05/14,臺中市后里區堤防路370號,04-25588024
405474,HAAAG1140513704,12,70,南投縣公立動物收容所,狗,混種犬          ,F,SMALL,虎斑色,CHILD,T,F,大長路,,OPEN,,,2025-05-13,2999-12-31,2025/05/14,2025/05/13,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1747185412123.png,,2025/05/14,南投縣南投市嶺興路36-1號,049-2225440
405473,HAAAG1140513847,12,70,南投縣公立動物收容所,狗,混種犬          ,F,SMALL,米色,CHILD,T,F,大長路,,OPEN,,,2025-05-13,2999-12-31,2025/05/14,2025/05/13,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1747185270063.png,,2025/05/14,南投縣南投市嶺興路36-1號,049-2225440
405472,HAAAG1140513819,12,70,南投縣公立動物收容所,狗,混種犬          ,M,SMALL,米色,CHILD,T,F,大長路,,OPEN,,,2025-05-13,2999-12-31,2025/05/14,2025/05/13,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1747185146909.png,,2025/05/14,南投縣南投市嶺興路36-1號,049-2225440
405471,HAAAG1140513735,12,70,南投縣公立動物收容所,狗,混種犬          ,F,SMALL,米色,CHILD,T,F,大長路,,OPEN,,,2025-05-13,2999-12-31,2025/05/14,2025/05/13,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1747185042773.png,,2025/05/14,南投縣南投市嶺興路36-1號,049-2225440
405470,HAAAG1140513894,12,70,南投縣公立動物收容所,狗,混種犬          ,F,SMALL,黑色,CHILD,T,F,長北路,,OPEN,,,2025-05-13,2999-12-31,2025/05/14,2025/05/13,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1747184962901.png,,2025/05/14,南投縣南投市嶺興路36-1號,049-2225440
405469,HAAAG1140513733,12,70,南投縣公立動物收容所,狗,混種犬          ,F,SMALL,黑色,CHILD,T,F,長北路,,OPEN,,,2025-05-13,2999-12-31,2025/05/14,2025/05/13,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1747184845526.png,,2025/05/14,南投縣南投市嶺興路36-1號,049-2225440
405354,DAAAG1140512013,7,63,新竹縣動物保護教育園區,貓,混種貓                 ,M,SMALL,黃白色,CHILD,F,F,,,OPEN,眼睛感染治療中；剛長牙幼貓仍在觀察是否能吃飼料,,2025-05-12,2999-12-31,2025/05/14,2025/05/12,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747110406416.png,,2025/05/14,新竹縣竹北市縣政五街192號,03-5519548
405353,DAAAG1140512012,7,63,新竹縣動物保護教育園區,貓,混種貓                 ,F,SMALL,黑白色,CHILD,F,F,,,OPEN,眼睛感染治療中；剛長牙幼貓仍在觀察是否能吃飼料,,2025-05-12,2999-12-31,2025/05/14,2025/05/12,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747110035329.png,,2025/05/14,新竹縣竹北市縣政五街192號,03-5519548
405291,VAAAG114051214,2,49,臺北市動物之家,貓,混種貓                 ,F,MEDIUM,虎斑白色,ADULT,T,F,寶興街,,OPEN,右剪耳，FRV,,2025-05-20,2999-12-31,2025/05/14,2025/05/12,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1747042881913.png,,2025/05/14,臺北市內湖區安美街191號,02-87913254
405290,VAAAG114051213,2,49,臺北市動物之家,貓,混種貓                 ,F,MEDIUM,虎斑白色,ADULT,T,F,濱江街,,OPEN,右剪耳,,2025-05-20,2999-12-31,2025/05/14,2025/05/12,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1747042868508.png,,2025/05/14,臺北市內湖區安美街191號,02-87913254
405458,JAAAG1140514005,14,72,嘉義縣動物保護教育園區,狗,混種犬          ,F,BIG,黑色,ADULT,T,F,,,OPEN,,,2025-05-14,2999-12-31,2025/05/14,2025/05/14,嘉義縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747180736656.png,,2025/05/14,嘉義縣民雄鄉松山村後山仔37之2號,05-2721119
405457,JAAAG1140514004,14,72,嘉義縣動物保護教育園區,狗,混種犬          ,M,BIG,黑色,ADULT,T,F,,,OPEN,,,2025-05-14,2999-12-31,2025/05/14,2025/05/14,嘉義縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747180296779.png,,2025/05/14,嘉義縣民雄鄉松山村後山仔37之2號,05-2721119
405455,JAAAG1140514002,14,72,嘉義縣動物保護教育園區,狗,混種犬          ,M,BIG,黑色,ADULT,T,F,,,OPEN,,,2025-05-14,2999-12-31,2025/05/14,2025/05/14,嘉義縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747180162568.png,,2025/05/14,嘉義縣民雄鄉松山村後山仔37之2號,05-2721119
405454,JAAAG1140514001,14,72,嘉義縣動物保護教育園區,狗,混種犬          ,F,BIG,黑色,ADULT,T,F,,,OPEN,,,2025-05-14,2999-12-31,2025/05/14,2025/05/14,嘉義縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747180096660.png,,2025/05/14,嘉義縣民雄鄉松山村後山仔37之2號,05-2721119
403833,DAAAG1140501002,7,63,新竹縣動物保護教育園區,狗,博美犬         ,M,SMALL,花色,ADULT,F,F,,,OPEN,目前找尋原飼主中，暫不開放其他民眾領養， 若原飼主於114.5.8前未領回，將於絕育後另行更新公告開放認養時間於此。,,,2999-12-31,2025/05/01,2025/05/01,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1746079730924.png,,2025/05/01,新竹縣竹北市縣政五街192號,03-5519548
405452,DAAAG1140513001,7,63,新竹縣動物保護教育園區,貓,混種貓                 ,M,SMALL,黃白色,CHILD,F,F,,,OPEN,眼睛感染治療中；剛長牙幼貓仍在觀察是否能吃飼料,,2025-05-13,2999-12-31,2025/05/13,2025/05/13,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747148405419.png,,2025/05/13,新竹縣竹北市縣政五街192號,03-5519548
402059,AAAHG1140418001,3,58,新北市五股區公立動物之家,狗,哈士奇(西伯利亞雪橇犬),M,BIG,灰白色,ADULT,N,F,中山路62號,,OPEN,,,,2999-12-31,2025/05/13,2025/04/18,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/1744961768563.png,,2025/05/13,新北市五股區外寮路9-9號,02-82925265
93832,AAAHG1080419002,3,58,新北市五股區公立動物之家,狗,混種犬          ,M,MEDIUM,黑色,ADULT,F,F,文化一路,,OPEN,,,2019-04-19,2999-12-31,2025/05/13,2019/04/19,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/716571b7-2c17-4f24-b961-9b2f32ecc3a0.jpg,,2025/05/13,新北市五股區外寮路9-9號,02-82925265
172914,AAAHG1090814001,3,58,新北市五股區公立動物之家,狗,混種犬          ,M,MEDIUM,棕色,ADULT,F,F,成泰路1段237-8號,,OPEN,,,,2999-12-31,2025/05/13,2020/08/14,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/20dda094-df2b-4ab3-ba41-a9d2dc7255f3.jpg,,2025/05/13,新北市五股區外寮路9-9號,02-82925265
385664,AAAHG1131208001,3,58,新北市五股區公立動物之家,狗,混種犬          ,M,MEDIUM,棕黑色,ADULT,T,F,河邊北街-寵物公園,,OPEN,,,2024-12-08,2999-12-31,2025/05/13,2024/12/08,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/1733631461381.png,,2025/05/13,新北市五股區外寮路9-9號,02-82925265
405442,AAAHG1140513001,3,58,新北市五股區公立動物之家,貓,混種貓                 ,M,MEDIUM,黑白色,ADULT,T,F,三重區水漾路二段 忠孝公園,,OPEN,,,,2999-12-31,2025/05/13,2025/05/13,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/1747126346967.png,,2025/05/13,新北市五股區外寮路9-9號,02-82925265
392818,AAAHG1140210001,3,58,新北市五股區公立動物之家,狗,混種犬          ,M,MEDIUM,虎斑色,ADULT,F,F,力行路一段89巷,,OPEN,,,2025-02-10,2999-12-31,2025/05/13,2025/02/10,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/1739151823193.png,,2025/05/13,新北市五股區外寮路9-9號,02-82925265
405433,AAADG2025051302,3,50,新北市板橋區公立動物之家,狗,混種犬          ,F,MEDIUM,黑色,ADULT,T,F,3-2號,,OPEN,,,2025-05-13,2999-12-31,2025/05/13,2025/05/13,新北市板橋區公立動物之家,https://www.pet.gov.tw/upload/pic/1747124388353.png,,2025/05/13,新北市板橋區板城路28-1號,02-89662158
401496,VAAAG114041410,2,49,臺北市動物之家,貓,混種貓                 ,M,MEDIUM,黑白色,ADULT,T,F,平菁街９３巷,,OPEN,,,2025-04-28,2999-12-31,2025/05/13,2025/04/14,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1744616429771.png,,2025/05/13,臺北市內湖區安美街191號,02-87913254
405409,EAAAG1140513008,9,96,苗栗縣動物保護教育園區,貓,混種貓                 ,F,BIG,虎斑色,ADULT,T,F,卓蘭鎮坪林里,,OPEN,,,2025-05-13,2999-12-31,2025/05/13,2025/05/09,苗栗縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747121709499.png,,2025/05/13,苗栗縣銅鑼鄉朝陽村6鄰朝北55-1號(地圖：https:／／goo.gl/maps/Bd4sckpEPsrof7Qb8),037-558228
405408,EAAAG1140513007,9,96,苗栗縣動物保護教育園區,貓,混種貓                 ,F,BIG,黑白色,ADULT,T,F,三灣鄉頂寮村,,OPEN,,,2025-05-13,2999-12-31,2025/05/13,2025/05/09,苗栗縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1747121594027.png,,2025/05/13,苗栗縣銅鑼鄉朝陽村6鄰朝北55-1號(地圖：https:／／goo.gl/maps/Bd4sckpEPsrof7Qb8),037-558228
405407,S14C0513-01,16,74,臺南市動物之家善化站,貓,混種貓                 ,M,SMALL,虎斑白色,CHILD,N,F,,,OPEN,本站動物皆採現場互動面談後評估能否認養，不接受電話或系統上預約。,,2025-05-13,2999-12-31,,2025/05/13,臺南市動物之家善化站,https://www.pet.gov.tw/upload/pic/1747121383986.png,,,臺南市善化區昌隆里東勢寮1~19號,06-5832399
400532,CAAAG1140407001,6,61,桃園市動物保護教育園區,貓,混種貓                 ,F,SMALL,黑虎斑色,CHILD,F,F,南山北路二段,,OPEN,我在南昌動物保護教育園區~,,2025-05-13,2999-12-31,2025/05/13,2025/04/07,桃園市動物保護教育園區,https://www.pet.gov.tw/upload/pic/1744011212788.png,,2025/05/13,桃園市新屋區永興里3鄰藻礁路1668號,03-4861760
400657,CAAAG1140408002,6,61,桃園市動物保護教育園區,貓,混種貓                 ,M,SMALL,黑色,CHILD,F,F,,,OPEN,我在南昌動物保護園區,,2025-05-13,2999-12-31,2025/05/13,2025/04/08,桃園市動物保護教育園區,https://www.pet.gov.tw/upload/pic/1744094214108.png,,2025/05/13,桃園市新屋區永興里3鄰藻礁路1668號,03-4861760
400533,CAAAG1140407002,6,61,桃園市動物保護教育園區,貓,混種貓                 ,F,SMALL,黑色,CHILD,F,F,南山北路二段,,OPEN,我在南昌動物保護教育園區,,2025-05-13,2999-12-31,2025/05/13,2025/04/07,桃園市動物保護教育園區,https://www.pet.gov.tw/upload/pic/1744011249114.png,,2025/05/13,桃園市新屋區永興里3鄰藻礁路1668號,03-4861760
146693,AAAHG1090301002,3,58,新北市五股區公立動物之家,狗,混種犬          ,F,MEDIUM,虎斑色,ADULT,T,F,三民街三民公園,,OPEN,,,2021-10-05,2999-12-31,2025/05/13,2020/03/01,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/3b64d381-624d-49bd-8895-5e2a848eb7ed.jpg,,2025/05/13,新北市五股區外寮路9-9號,02-82925265
143725,AAAHG1090213003,3,58,新北市五股區公立動物之家,狗,混種犬          ,F,MEDIUM,黑色,ADULT,F,F,河邊北街,,OPEN,,,2020-02-20,2999-12-31,2025/05/13,2020/02/13,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/2a37fdd4-f71c-434e-98f4-2233d06916de.jpg,,2025/05/13,新北市五股區外寮路9-9號,02-82925265
41564,AAAHG107031501,3,58,新北市五股區公立動物之家,狗,混種犬          ,M,MEDIUM,黑色,ADULT,F,F,凌雲路1段149號,,OPEN,,,2018-03-15,2999-12-31,2025/05/13,2018/03/15,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/81eaadf3-f6b3-4854-97da-9ed691a87dc7.jpg,,2025/05/13,新北市五股區外寮路9-9號,02-82925265
393060,AAAHG1140211001,3,58,新北市五股區公立動物之家,狗,混種犬          ,M,MEDIUM,黑黃色,ADULT,T,F,林口仁愛路380,,OPEN,,,2025-02-23,2999-12-31,2025/05/13,2025/02/11,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/1739263773420.png,,2025/05/13,新北市五股區外寮路9-9號,02-82925265
226246,AAAHG1101008001,3,58,新北市五股區公立動物之家,狗,混種犬          ,M,MEDIUM,黃白色,ADULT,T,F,西雲路185巷,,OPEN,,,2021-10-08,2999-12-31,2025/05/13,2021/10/08,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/a39321d7-97c0-4d1d-a7a6-2737250aaba3.jpg,,2025/05/13,新北市五股區外寮路9-9號,02-82925265
344567,AAAHG1130127010,3,58,新北市五股區公立動物之家,狗,混種犬          ,M,MEDIUM,虎斑色,ADULT,T,F,粉寮路281-1號,,OPEN,,,2024-01-27,2999-12-31,2025/05/13,2024/01/27,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/1706353850003.png,,2025/05/13,新北市五股區外寮路9-9號,02-82925265
334836,AAAHG1121116003,3,58,新北市五股區公立動物之家,狗,混種犬          ,M,MEDIUM,黑黃色,ADULT,F,F,忠福路129號,,OPEN,,,2023-11-16,2999-12-31,2025/05/13,2023/11/16,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/1702364817056.png,,2025/05/13,新北市五股區外寮路9-9號,02-82925265
344541,AAAHG1130127004,3,58,新北市五股區公立動物之家,狗,混種犬          ,F,MEDIUM,黃色,ADULT,T,F,湖子路99號,,OPEN,,,2024-01-27,2999-12-31,2025/05/13,2024/01/27,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/1706336605724.png,,2025/05/13,新北市五股區外寮路9-9號,02-82925265
404535,DAAAG1140506003,7,63,新竹縣動物保護教育園區,狗,混種犬          ,F,MEDIUM,黑色,ADULT,T,F,,,OPEN,114.5.14開放認養,,2025-05-14,2999-12-31,2025/05/13,2025/05/06,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1746634942805.png,,2025/05/13,新竹縣竹北市縣政五街192號,03-5519548
404537,DAAAG1140506005,7,63,新竹縣動物保護教育園區,狗,混種犬          ,F,MEDIUM,黑黃色,ADULT,T,F,,,OPEN,114.5.14開放認養,,2025-05-14,2999-12-31,2025/05/13,2025/05/06,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1746634801098.png,,2025/05/13,新竹縣竹北市縣政五街192號,03-5519548
290380,AAAHG1120105002,3,58,新北市五股區公立動物之家,狗,混種犬          ,M,MEDIUM,黑色,ADULT,F,F,富貴街19號,,OPEN,,,2023-01-13,2999-12-31,2025/05/13,2023/01/05,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/1672896808322.png,,2025/05/13,新北市五股區外寮路9-9號,02-82925265
404536,DAAAG1140506004,7,63,新竹縣動物保護教育園區,狗,混種犬          ,F,MEDIUM,黃色,ADULT,T,F,,,OPEN,114.5.14開放認養,,2025-05-14,2999-12-31,2025/05/13,2025/05/06,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1746634860964.png,,2025/05/13,新竹縣竹北市縣政五街192號,03-5519548
404534,DAAAG1140506002,7,63,新竹縣動物保護教育園區,狗,混種犬          ,M,MEDIUM,黑黃色,ADULT,F,F,,,OPEN,排114.5.15絕育開放認養,,2025-05-15,2999-12-31,2025/05/13,2025/05/06,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1746630725102.png,,2025/05/13,新竹縣竹北市縣政五街192號,03-5519548
404716,AAAHG1140507002,3,58,新北市五股區公立動物之家,狗,洛威納犬(羅威那犬),M,MEDIUM,黑黃色,ADULT,N,F,壟溝路,,OPEN,尋找原飼主中 若找不到 2025.05.20 10AM 抽籤,,2025-05-20,2999-12-31,2025/05/13,2025/05/07,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/1746606887925.png,,2025/05/13,新北市五股區外寮路9-9號,02-82925265
405389,1140771,5,78,宜蘭縣流浪動物中途之家,貓,混種貓                 ,N,SMALL,虎斑色,CHILD,N,F,利寶路,,OPEN,,,2025-05-13,2999-12-31,2025/05/13,2025/05/13,宜蘭縣流浪動物中途之家,https://www.pet.gov.tw/upload/pic/1747117408367.png,,2025/05/13,宜蘭縣五結鄉成興村利寶路60號,039602350分機620
405388,1140770,5,78,宜蘭縣流浪動物中途之家,貓,混種貓                 ,N,SMALL,虎斑白色,CHILD,N,F,柯林路,,OPEN,,,2025-05-13,2999-12-31,2025/05/13,2025/05/13,宜蘭縣流浪動物中途之家,https://www.pet.gov.tw/upload/pic/1747117361103.png,,2025/05/13,宜蘭縣五結鄉成興村利寶路60號,039602350分機620
